3,9,99
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT Á CHÂU,"80A Huỳnh Văn Bánh, P. 15, Q. Phú Nhuận, Tp. Hồ Chí Minh, Việt Nam","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 15', 'route': 'Huỳnh Văn Bánh', 'administrative_area_level_2': 'Phú Nhuận', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.794261, 'lng': 106.680854}}"
TỔNG CÔNG TY TÂN CẢNG SÀI GÒN,"722 Điện Biên Phủ, Phường 22, Quận Bình Thạnh, TP. Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 17', 'route': 'Điện Biên Phủ', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.79407, 'lng': 106.702085}}"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TRANE VIỆT NAM,"3 Ba Tháng Hai, Quận 10, Tp. Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': '', 'route': 'Ba tháng Hai', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7736201, 'lng': 106.6774634}}"
CÔNG TY CP NHỰA TRƯỜNG THỊNH,"X6, Lô 01-1 đường D4, KCN Tân Phú Trung, Củ Chi","{'locality': '', 'sublocality_level_1': 'Tân Phú Trung', 'route': '', 'administrative_area_level_2': 'Củ Chi', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.9389375, 'lng': 106.5411065}}"
CÔNG TY CP XÂY DỰNG & KINH DOANH VẬT TƯ,"Lầu 6, 9-19 Hồ Tùng Mậu, P.Nguyễn Thái Bình, Q.1","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Nguyễn Thái Bình', 'route': 'Hồ Tùng Mậ', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.769843, 'lng': 106.704615}}"
CÔNG TY TNHH VINAIN,"17B Vũ Tùng, P.1, Q.Bình Thạnh, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 1', 'route': 'Vũ Tùng', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.800909, 'lng': 106.697782}}"
CÔNG TY CỔ PHẦN THÉP VÀ ĐẦU TƯ THỤY SỸ,"61 Nguyễn Phước Tần, Q.Cẩm Lệ, Tp Đà Nẵng","{'locality': '', 'sublocality_level_1': 'Cẩm Lệ', 'route': 'Nguyễn Phước Tấn', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0195155, 'lng': 108.1975244}}"
CÔNG TY CỔ PHẦN GIẤY SÀI GÒN,"Phòng 1.1 – 1.2, Tầng 1, Tòa nhà Etown 1, Số 364 Cộng Hòa, Phường 13, Quận Tân Bình, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 13', 'route': 'Cộng Hòa', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8020878, 'lng': 106.6401794}}"
CÔNG TY TNHH MINH PHÚC,"Tầng 10, Tòa nhà HH3, KĐT Mỹ Đình - Mễ Trì, Từ Liêm, Hà Nội","{'locality': '', 'sublocality_level_1': 'Mễ Trì', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0055267, 'lng': 105.7791327}}"
CÔNG TY TNHH CÀ PHÊ PHƯƠNG VY,"432A Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 25', 'route': 'Xô Viết Nghệ Tĩnh', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.806398, 'lng': 106.711716}}"
CÔNG TY TNHH XQ ĐÀ NẴNG,39 - 41 Nguyễn Thái Học - Hải Châu - Đà Nẵng,"{'locality': 'Da Nang', 'sublocality_level_1': 'Hải Châu 1', 'route': 'Nguyễn Thái Học', 'administrative_area_level_2': 'Q. Hải Châ', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.067962, 'lng': 108.223474}}"
CÔNG TY TNHH CÔNG NGHỆ TIN HỌC - VIỄN THÔNG 5M,26 Lê Đình Lý - Thanh Khê - Đà Nẵng,"{'locality': '', 'sublocality_level_1': 'Vĩnh Trung', 'route': 'Lê Đình Lý', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0590338, 'lng': 108.2112422}}"
CÔNG TY CP SX NHỰA DUY TÂN,"298 Hồ Ngọc Lãm, Q.Bình Tân","{'locality': '', 'sublocality_level_1': 'An Lạc', 'route': 'Hồ Học Lãm', 'administrative_area_level_2': 'Bình Tân', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7229178, 'lng': 106.6106178}}"
CÔNG TY TNHH DU LỊCH VẬN TẢI & TM ECOVICO,"326 Cù Chính Lan, Q. Thanh Khê, Tp. Đà Nẵng","{'locality': 'Da Nang', 'sublocality_level_1': 'Thanh Khê', 'route': 'Cù Chính Lan', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0649736, 'lng': 108.18549}}"
CÔNG TY CP PT SẢN XUẤT THƯƠNG MẠI SÀI GÒN,"200 bis Lý Chính Thắng, phường 9, Quận 3","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 14', 'route': 'Lý Chính Thắng', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.785264, 'lng': 106.684566}}"
CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ XÂY DỰNG MỚI,"S8 Đường 16,Khu Miếu Nổi, P. 3, Q. Bình Thạnh, Tp. Hồ Chí Minh","{'locality': '', 'sublocality_level_1': 'phường 3', 'route': '', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7990535, 'lng': 106.6953093}}"
CÔNG TY CỔ PHẦN CÔNG NGHIỆP CAO SU MIỀN NAM (CASUMINA),"180 Nguyễn Thị Minh Khai P.6, Q.3","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 6', 'route': 'Nguyễn Thị Minh Khai', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.776392, 'lng': 106.691616}}"
CÔNG TY TNHH QUẢNG CÁO & MARKETING MẶT TRỜI VÀNG,Tầng 19/Tòa nhà Keangnam Landmark Tower Phạm Hùng - Mễ trì - Từ Liêm - Hà Nội ,"{'locality': '', 'sublocality_level_1': 'Mễ Trì', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0055267, 'lng': 105.7791327}}"
CÔNG TY TNHH TM VÀ KT MẠNH BẮC SƠN,86 Tam Trinh - Yên Sở - Hoàng Mai - Hà Nội,"{'locality': '', 'sublocality_level_1': 'Vĩnh Tuy', 'route': 'Tam Trinh', 'administrative_area_level_2': 'Hoàng Mai', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 20.9947224, 'lng': 105.8626771}}"
CÔNG TY CỔ PHẦN ĐÌNH QUỐC,"451 Lý Thường Kiệt, Phường 8, Quận Tân Bình, TP.HCM","{'locality': '', 'sublocality_level_1': 'phường 8', 'route': 'Lý Thường Kiệt', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7806784, 'lng': 106.655211}}"
CÔNG TY TNHH BA LAN,"18 Nguyễn Lâm, Phường 6, Quận 10, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 6', 'route': 'Nguyễn Lâm', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7622319, 'lng': 106.6633966}}"
CÔNG TY TNHH TM-DV CÔNG NGHỆ KỸ THUẬT VI CAM,"459 Bà Hạt, Phường 8, Quận 10, TP.HCM","{'locality': '', 'sublocality_level_1': 'phường 8', 'route': 'Bà Hạt', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7651873, 'lng': 106.6654886}}"
CÔNG TY CỔ PHẦN MÂY Á ĐÔNG,"86/48A Phổ Quang, P.2, Q.TB","{'locality': '', 'sublocality_level_1': '2', 'route': 'Phá» Quang', 'administrative_area_level_2': 'TÃ¢n BÃ¬nh', 'administrative_area_level_1': 'Há» ChÃ­ Minh', 'country': 'Vietnam', 'location': {'lat': 10.807804, 'lng': 106.669505}}"
CÔNG TY CỔ PHẦN MAI LAN (KISS ME),"129 Âu Cơ, Phường 14, Quận Tân Bình, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 14', 'route': 'Âu Cơ', 'administrative_area_level_2': 'Quận 11', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.771507, 'lng': 106.650076}}"
CÔNG TY TNHH HOÀNG KHÔI NGUYÊN,"8/12 Núi Thành, P.13, Q. Tân Bình , TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 13', 'route': 'Núi Thành', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.800719, 'lng': 106.642146}}"
